STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,PLASTIC_WATER,Le plastique dans les environnements aquatiques,FREQ,Fréquence d'observation,MISMANAGED_LITTERED_PLASTIC,Plastique mal géré,TIME_PERIOD,Temps,OBS_VALUE,Valeur de l'observation,OBS_STATUS,Statut de l'observation,UNIT_MULT,Multiplicateur d'unité,UNIT_MEASURE,Unité de mesure,DECIMALS,Décimales
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2006,,11.82554,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2007,,12.86536,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2008,,13.90485,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2009,,14.97083,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2010,,16.09529,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2011,,17.25424,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2012,,18.42821,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2013,,19.60651,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2014,,20.80212,,E,Estimated value,6,Millions,T,Tonnes,3,Three
DATAFLOW,OECD.ENV.EEI:DSD_PL@DF_PL(1.0),Rejets de plastiques de 1990 à 2019,I,CHN,Chine (République populaire de),PL_AQ_O,Rejets de plastiques dans les environnements aquatiques,ACCUMULATED_STOCK_IN_RIVERS,Stock accumulé de plastiques dans les rivières et les lacs,A,Annuelle,_Z,Sans objet,2015,,21.99022,,E,Estimated value,6,Millions,T,Tonnes,3,Three
