YEAR,COUNTRY,VALUE PER TONNE,REGION
2010-2019,Albania,30122,Europe du Sud-Est
2010-2019,Algeria,258511,Afrique du Nord
2010-2019,Croatia,6492,Europe du Sud-Est
2010-2019,Cyprus,179,Moyen-Orient
2010-2019,France,1669,Europe de l'Ouest
2010-2019,Greece,35777,Europe du Sud-Est
2010-2019,Israel,3210,Moyen-Orient
2010-2019,Italy,9450,Europe de l'Ouest
2010-2019,Lebanon,27562,Moyen-Orient
2010-2019,Libya,101786,Afrique du Nord
2010-2019,Malta,152,Europe du Sud-Est
2010-2019,Montenegro,2971,Europe du Sud-Est
2010-2019,Morocco,93076,Afrique du Nord
2010-2019,Spain,9205,Europe de l'Ouest
2010-2019,Syrian Arab Republic,4108,Moyen-Orient
2010-2019,Tunisia,132766,Afrique du Nord
2010-2019,Turkey,519066,Moyen-Orient
2010-2019,Egypt,259857,Afrique du Nord
